phase,step_pps,t_rel,epoch,win_secs,skip,e0_req,e0_rsp,e0_rate,e1_req,e1_rsp,e1_rate,rcvbuf
A,500,7,1789718421,6,ok,3451,3454,100.1,3458,3461,100.1,3293
A,500,14,1789718427,5,ok,3116,3117,100.0,3117,3118,100.0,3293
A,500,20,1789718433,5,ok,3152,3152,100.0,3151,3151,100.0,3293
A,500,26,1789718439,5,ok,3121,3121,100.0,3121,3121,100.0,3293
A,500,32,1789718446,5,ok,3097,3097,100.0,3098,3098,100.0,3293
A,500,39,1789718452,5,ok,3100,3099,100.0,3099,3098,100.0,3293
A,1000,55,1789718468,6,ok,7151,7158,100.1,7165,7171,100.1,3293
A,1000,61,1789718474,5,ok,6270,6271,100.0,6272,6273,100.0,3293
A,1000,67,1789718481,5,ok,6291,6290,100.0,6290,6290,100.0,3293
A,1000,74,1789718487,5,ok,6396,6397,100.0,6396,6397,100.0,3293
A,1000,80,1789718493,5,ok,6317,6318,100.0,6318,6325,100.1,3293
A,1000,86,1789718500,5,ok,6269,6267,100.0,6268,6264,99.9,3293
A,2000,103,1789718516,6,ok,14076,14093,100.1,14111,14130,100.1,3293
A,2000,109,1789718522,5,SKIP:minute-boundary,8183732,5811127,-1,8130646,5768748,-1,3293
A,2000,115,1789718529,5,ok,12606,12612,100.0,12611,12606,100.0,3293
A,2000,122,1789718535,5,ok,12914,12900,99.9,12902,12905,100.0,3293
A,2000,128,1789718542,5,ok,12749,12755,100.0,12762,12765,100.0,3293
A,2000,135,1789718548,5,ok,12595,12595,100.0,12584,12589,100.0,3293
A,4000,151,1789718564,6,ok,27986,28016,100.1,28059,28106,100.2,3293
A,4000,157,1789718571,5,ok,25852,25859,100.0,25853,25843,100.0,3293
A,4000,164,1789718577,5,ok,25434,25428,100.0,25421,25408,99.9,3293
A,4000,170,1789718583,5,SKIP:minute-boundary,8349765,5977169,-1,8297280,5935393,-1,3293
A,4000,176,1789718590,5,ok,25360,25364,100.0,25353,25352,100.0,3293
A,4000,183,1789718596,5,ok,25136,25136,100.0,25136,25137,100.0,3293
A,8000,199,1789718612,6,ok,54824,52871,96.4,54925,52965,96.4,3293
A,8000,205,1789718618,5,ok,50140,48396,96.5,50165,48401,96.5,3293
A,8000,211,1789718625,5,ok,50184,48733,97.1,50338,48963,97.3,3293
A,8000,218,1789718631,5,ok,50748,47649,93.9,50572,47510,93.9,3293
A,8000,224,1789718637,5,ok,51222,51111,99.8,51225,51057,99.7,3293
A,8000,230,1789718643,5,SKIP:minute-boundary,8728739,6347164,-1,8677281,6306432,-1,3293
A,16000,246,1789718660,6,ok,114517,113455,99.1,114743,113493,98.9,3293
A,16000,253,1789718667,5,ok,109885,110077,100.2,110248,110723,100.4,3293
A,16000,260,1789718674,5,ok,121394,121939,100.4,121147,121497,100.3,3293
A,16000,267,1789718681,5,ok,109909,109653,99.8,110094,110295,100.2,3522
A,16000,274,1789718688,5,ok,108110,107472,99.4,107940,106982,99.1,3821
A,20000,291,1789718705,6,SKIP:minute-boundary,9566350,7153091,-1,9522793,7119805,-1,3943
A,20000,298,1789718711,5,ok,133264,106871,80.2,134461,107222,79.7,3943
A,20000,304,1789718718,5,ok,134237,104920,78.2,132589,104836,79.1,4420
B,16000,316,1789718729,6,ok,112256,108203,96.4,112472,108235,96.2,4420
B,16000,322,1789718736,5,ok,104679,104169,99.5,104770,104516,99.8,4420
B,16000,329,1789718742,5,ok,104953,104470,99.5,105126,104530,99.4,4420
B,16000,335,1789718749,5,ok,107342,107249,99.9,107145,107015,99.9,4620
B,12000,352,1789718765,6,SKIP:minute-boundary,10439564,7937588,-1,10406877,7915257,-1,4620
B,12000,358,1789718772,5,ok,76298,48440,63.5,76166,48430,63.6,4620
B,12000,365,1789718779,5,ok,83246,60095,72.2,83334,60405,72.5,4620
B,8000,381,1789718795,6,ok,55697,53831,96.6,55749,53843,96.6,4620
B,8000,388,1789718801,5,ok,50054,47111,94.1,50054,47105,94.1,4620
B,8000,394,1789718807,5,ok,49894,49053,98.3,49910,49067,98.3,4620
B,8000,400,1789718814,5,ok,50840,47035,92.5,50817,46924,92.3,4620
B,6000,416,1789718830,6,ok,41449,41515,100.2,41587,41617,100.1,4620
B,6000,423,1789718836,5,ok,37339,37338,100.0,37321,37328,100.0,4620
B,6000,429,1789718842,5,ok,37164,37130,99.9,37134,37111,99.9,4620
B,6000,435,1789718849,5,ok,37951,37957,100.0,37964,37994,100.1,4620
B,4000,451,1789718865,6,ok,27671,27703,100.1,27731,27759,100.1,4620
B,4000,458,1789718871,5,ok,25684,25688,100.0,25700,25712,100.0,4620
B,4000,464,1789718878,5,ok,26925,26921,100.0,26921,26913,100.0,4620
B,3000,480,1789718894,6,ok,20839,20863,100.1,20891,20915,100.1,4620
B,3000,487,1789718900,5,ok,18852,18846,100.0,18842,18843,100.0,4620
B,3000,493,1789718907,5,ok,19439,19448,100.0,19466,19477,100.1,4620
B,2000,510,1789718923,6,ok,13937,13955,100.1,13981,13999,100.1,4620
B,2000,516,1789718929,5,ok,12700,12696,100.0,12702,12706,100.0,4620
B,2000,522,1789718936,5,ok,12745,12745,100.0,12742,12734,99.9,4620
B,2000,529,1789718942,5,SKIP:minute-boundary,11327581,8755410,-1,11303553,8741862,-1,4620
